Year,Access_to_clean_fuels_and_technologies_for_cooking_(%_of_population),Adjusted_savings:_natural_resources_depletion_(%_of_GNI),Alternative_and_nuclear_energy_(%_of_total_energy_use),CO2_emissions_(kt),CO2_emissions_(metric_tons_per_capita),"CO2_emissions_from_electricity_and_heat_production,_total_(%_of_total_fuel_combustion)",CO2_emissions_from_manufacturing_industries_and_construction_(%_of_total_fuel_combustion),"CO2_emissions_from_other_sectors,_excluding_residential_buildings_and_commercial_and_public_services_(%_of_total_fuel_combustion)",CO2_emissions_from_residential_buildings_and_commercial_and_public_services_(%_of_total_fuel_combustion),CO2_emissions_from_transport_(%_of_total_fuel_combustion),Electric_power_consumption_(kWh_per_capita),Electricity_production_from_coal_sources_(%_of_total),Electricity_production_from_hydroelectric_sources_(%_of_total),Electricity_production_from_natural_gas_sources_(%_of_total),Electricity_production_from_oil_sources_(%_of_total),"Electricity_production_from_renewable_sources,_excluding_hydroelectric_(%_of_total)",Fossil_fuel_energy_consumption_(%_of_total),Renewable_electricity_output_(%_of_total_electricity_output),Renewable_energy_consumption_(%_of_total_final_energy_consumption)
2000,22.3,1.47219568,1.98797486,937860,0.885079459,55.21427609,21.04914424,4.492161179,8.569920489,10.67562104,392.5101757,68.49942425,13.07066324,9.823622755,5.119117833,0.520284788,63.72739451,13.59094803,46.88
2001,23.4,1.234784376,2.09168766,953540,0.8837495,55.86708204,20.80820132,4.530390402,8.312896312,10.48253463,392.3609036,69.41705728,12.52985951,9.509819423,4.554967858,0.677184016,63.64796634,13.20704353,47.11
2002,24.7,1.284417607,1.988193897,985450.0122,0.897239655,54.92646116,21.61486169,4.621830775,8.393903117,10.44401214,408.7769006,69.89346472,11.20700669,10.30053956,4.574759788,0.84815447,64.32920579,12.05516116,45.75
2003,25.9,1.211548816,2.018826573,1011770.02,0.905455814,56.26402197,19.86979221,4.985008282,8.450925712,10.43025182,428.2132845,67.83142323,12.41509011,11.18590369,4.776311119,1.054334649,64.51923944,13.46942476,45.63
2004,27.3,1.419461542,2.020142463,1085670.044,0.955472924,56.88778239,19.6631235,4.914078987,8.029992123,10.50405049,448.9720155,67.69168015,13.23292266,11.19561515,4.132949118,1.249577845,65.58374371,14.4825005,44.92
2005,28.6,1.800222242,2.194685902,1136469.971,0.984264565,55.56049575,21.43518776,4.579558717,7.806739658,10.6189444,465.1766773,66.85963647,15.07847346,10.54515018,3.544440346,1.540544619,65.98980361,16.61901808,44.16
2006,29.5,2.094619628,2.370720004,1215209.961,1.036537982,55.53305756,22.39641268,4.209538376,7.464891546,10.39696885,506.2225086,66.68824892,15.55627927,10.25660908,3.071012065,1.984145446,66.80567371,17.54042472,43.16
2007,30.55,2.402736638,2.302839537,1336739.99,1.123601911,55.45391293,22.92256361,3.49072566,6.926105726,11.20669207,538.7865959,65.48205784,15.52570963,11.57179232,2.997706308,2.338376056,67.88343297,17.86408569,41.53
2008,32,3.303582528,2.042078494,1424380.005,1.180358765,53.62066787,23.47209525,4.278058968,6.596951251,12.03296989,558.4267535,68.44469591,13.76817488,10.24370694,3.0121824,2.741658857,69.00512159,16.50983374,39.37
2009,34,1.625349599,2.020894335,1564880.005,1.278872708,52.29103743,24.28175828,5.43993338,6.272677404,11.71459351,595.6056558,66.96802144,12.33356081,12.6579905,2.649073042,3.326494437,71.14349792,15.66005525,37.41
2010,35.4,2.221028668,2.352063861,1659979.98,1.338031401,51.50289162,25.97380603,4.320499793,6.208523077,11.99427948,637.1258442,67.17829809,12.56565137,11.56699503,2.490565807,3.478093068,71.40469516,16.04374444,36.16
2011,37.2,2.566965044,2.704314038,1756739.99,1.396875309,51.76420685,26.86397744,2.82344788,6.173230416,12.37513741,692.779357,66.75997826,13.36223263,10.62719164,2.245155118,3.954730228,71.4717185,17.31696286,35.01
2012,39.6,1.951013824,2.52600082,1909439.941,1.498202508,53.44267238,25.18483772,3.431503942,5.70148987,12.23893766,718.2959462,71.63605506,11.08936476,7.613470116,2.037845188,4.643608605,72.41907946,15.73297336,34.75
2013,41.6,1.800703542,2.720663075,1972430.054,1.527674907,52.31799877,26.9695432,2.965786036,5.704306706,12.04182546,758.1106752,72.52273811,12.3886605,5.241437102,1.956334092,4.960653326,72.28545864,17.34931383,34.85
2014,44.8,1.404697366,2.667720547,2147110.107,1.642467654,53.60529195,26.40827462,3.018314873,5.490005793,11.47860789,797.349232,74.49218587,11.08015726,4.636533553,1.767435892,5.173682559,73.57697909,16.25383982,33.85
2015,48.2,0.876362565,2.71345673,2158020.02,1.631321083,54.3178868,26.40426432,3.52456783,5.38765469,11.15426749,856.652694,75.30939896,9.982039098,4.923196173,1.659503516,5.361011248,74.7495367,15.34305035,33.4