Country,year,SDG Index Score,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17
Vietnam,2005,63.3,39,58,65,89,70,64,53,71,29,66,64,88,97,54,38,62,69
Vietnam,2006,64.2,45,60,65,89,71,64,55,71,30,70,65,88,96,53,39,62,69
Vietnam,2007,64.4,48,59,65,89,71,65,55,71,30,70,65,88,96,53,39,62,69
Vietnam,2008,64.9,51,62,66,88,71,66,56,71,31,71,67,87,96,52,38,62,69
Vietnam,2009,66.2,72,62,65,88,71,66,58,72,31,71,68,87,95,51,38,62,69
Vietnam,2010,66.7,82,68,67,90,71,67,59,72,32,56,70,87,95,51,38,62,68
Vietnam,2011,67.2,85,65,69,92,71,68,62,72,34,56,70,87,95,50,39,62,67
Vietnam,2012,68.9,87,67,68,93,70,68,65,72,35,70,72,87,95,49,39,62,69
Vietnam,2013,69.0,88,66,66,97,71,69,67,72,37,70,72,86,95,49,39,60,69
Vietnam,2014,70.3,89,69,69,97,71,70,68,75,42,74,74,86,94,50,41,59,67
Vietnam,2015,70.5,91,68,70,98,71,70,69,75,43,74,75,84,93,49,41,60,67
World,2005,59.2,51,59,59,74,50,57,52,71,42,34,64,80,87,59,55,57,53
World,2006,59.5,53,60,60,74,51,57,53,71,42,34,64,79,87,59,55,57,53
World,2007,60.0,56,60,61,75,51,58,54,71,43,35,64,79,87,59,56,57,55
World,2008,60.2,57,60,62,76,52,58,54,71,43,35,64,79,87,59,56,57,54
World,2009,60.5,59,60,62,76,52,58,54,71,44,36,64,79,87,58,56,57,54
World,2010,61.1,63,60,64,76,53,58,55,71,46,36,64,79,87,59,56,57,54
World,2011,61.5,67,61,65,77,53,59,55,71,48,35,64,79,87,59,56,57,54
World,2012,62.0,69,61,65,77,53,59,56,71,49,36,64,79,87,59,57,57,55
World,2013,62.4,72,62,66,77,54,60,57,68,51,37,64,79,87,60,57,56,55
World,2014,63.1,74,63,67,78,55,60,58,70,52,37,64,79,87,59,57,58,55
World,2015,63.5,75,62,68,78,55,61,59,70,54,38,64,79,87,59,57,58,56